Fuel Type Code,Station Name,Street Address,Intersection Directions,Municipality,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Causeway Nissan,435 Route 72 W,,Manahawkin,NJ,8050,,609-978-6700,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.701442,-74.271282,2/12/2024,45686,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Acme Nissan,2050 US Highway 130,,South Brunswick,NJ,8852,,732-821-9300,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,40.40938,-74.506017,2/12/2024,45688,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Acme Nissan,2050 US Highway 130,,South Brunswick,NJ,8852,,732-821-9300,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.40938,-74.506017,2/12/2024,45689,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Sansone Jr's 66 Nissan,3401 Route 66,,Neptune,NJ,7753,,732-922-1050,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.228608,-74.068718,2/12/2024,45690,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Sansone Jr's 66 Nissan,3401 Route 66,,Neptune,NJ,7753,,732-922-1050,E,,Private,,,,,,,1,,,Non-Networked,,200-9,40.228608,-74.068718,2/12/2024,45691,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,North Plainfield Nissan,545 Route 22 W,,North Plainfield,NJ,7060,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.63020719,-74.43339229,1/13/2026,45693,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Nissan of Stanhope,59 Route 206,,Stanhope,NJ,7874,,973-347-2200,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.93008,-74.71986,1/13/2026,45695,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Pine Belt Automotive,229 Route 37 E,,Toms River,NJ,8753,,732-349-3030,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.961373,-74.180868,2/12/2024,45696,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Pine Belt Automotive,229 Route 37 E,,Toms River,NJ,8753,,732-349-3030,E,,Private,,,,,,,1,,,Non-Networked,,200-9,39.961373,-74.180868,2/12/2024,45697,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Nissan 46,440 Route 46,,Totowa,NJ,7512,,973-256-1200,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.894089,-74.234087,1/13/2026,45699,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Ramsey Nissan,401 NJ-17,,Upper Saddle River,NJ,7458,,877-780-9676,E,,Private,,,,,,,1,,,Non-Networked,,GPS,41.05329686,-74.12024738,1/13/2026,45701,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Team Nissan,1715 S Delsea Dr,,Vineland,NJ,8360,,856-696-2277,E,,Private,,,,,,,1,,,Non-Networked,,GPS,39.461773,-75.043038,1/13/2026,45703,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Woodbury Nissan,439 Mantua Ave,,Woodbury,NJ,8096,,877-289-6177,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,GPS,39.83187952,-75.15809823,1/13/2026,45704,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Firehouse Lot 3,1st St & Sloan St,In the back of the firehouse,South Orange,NJ,7079,,973-378-7715 x2037,E,,Public,6am-11pm daily; Pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,3,3,,,Non-Networked,,GPS,40.745046,-74.26042,11/6/2024,49035,2025-02-12 00:16:32 UTC,P,,,9/15/2012,,,,,J1772 NEMA520,US,,,,Public,,public,,,PAY_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Sansone Nissan,90-100 US Route 1,,Avenel,NJ,7001,,888-250-5514,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,40.573827,-74.290584,2/12/2024,49898,2025-02-12 00:16:32 UTC,P,,,10/25/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Bridgewater Nissan,1400 Route 22,,Bridgewater,NJ,8807,,,E,,Public - Call ahead,Dealership business hours; contact 908-722-3600 for more information,,,,,,2,1,,Non-Networked,,200-8,40.57448,-74.57143,2/12/2024,49900,2025-02-12 00:16:32 UTC,P,,,10/25/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Bridgewater Nissan,1400 Route 22,,Bridgewater,NJ,8807,,,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.57448,-74.57143,2/12/2024,49901,2025-02-12 00:16:32 UTC,P,,,10/25/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Nissan World of Denville,3057 Route 10,,Denville,NJ,7834,,973-442-0500,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.864756,-74.506492,1/13/2026,49903,2026-02-02 23:16:24 UTC,P,,,10/25/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Hudson Nissan,585 NJ-440,,Jersey City,NJ,7305,,866-601-9938,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.716971,-74.096328,1/13/2026,49906,2026-02-02 23:16:24 UTC,P,,,10/25/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Nissan City of Red Bank,120 Newman Springs Rd E,,Red Bank,NJ,7701,,888-335-8914,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,GPS,40.338269,-74.068422,1/13/2026,49907,2026-02-02 23:16:24 UTC,P,,,10/25/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Nissan of Turnersville,3400 Route 42,,Turnersville,NJ,8012,,856-629-1900,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,39.73010731,-75.0312058,2/12/2024,49912,2025-02-12 00:16:32 UTC,P,,,10/25/2012,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Nissan of Turnersville,3400 Route 42,,Turnersville,NJ,8012,,856-629-1900,E,,Private,,,,,,,2,,,Non-Networked,,GPS,39.73010731,-75.0312058,2/12/2024,49913,2025-02-12 00:16:32 UTC,P,,,10/25/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,George Wall Ford Lincoln,700 Shrewsbury Ave,,Red Bank,NJ,7701,,732-747-5400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.324267,-74.073959,11/13/2025,52006,2026-02-02 23:16:24 UTC,P,,,4/15/2013,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Larson Ford,1150 Ocean Ave,,Lakewood,NJ,8701,,,E,,Private,Service center and customer use only,,,,,,2,,,Non-Networked,,200-9,40.082323,-74.172823,1/10/2022,53889,2023-02-15 22:45:41 UTC,P,,,4/1/2013,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,CIRCLE BMW STATION 01,500 NJ-36 500 State Route 36,,Eatontown,NJ,7724,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.290139,-74.041359,8/26/2026,60922,2026-08-26 00:57:47 UTC,,,,3/28/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,BMW SPRINGFIELD STATION 01,391-US-22 east located on east side of front,-24  7,Springfield Township,NJ,7081,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.684542,-74.333898,8/26/2026,61419,2026-08-26 00:57:50 UTC,,,,4/22/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Kindle Auto Plaza,525 Stone Harbor Blvd,,Cape May,NJ,8210,,,E,,Private,Dealership business hours; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2,2,,,Non-Networked,,200-9,39.082387,-74.811638,10/11/2024,63619,2025-02-12 00:16:32 UTC,P,,,10/1/2012,,,,,J1772 NEMA520,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,HAMILTON VW VW_408258_A,2200 NJ-33,,Trenton,NJ,8690,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.222952,-74.643819,8/26/2026,64192,2026-08-26 00:59:05 UTC,,,,11/14/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Station Plaza Parking Garage,50 Yard Ave,Located on the roof of the garage,Trenton,NJ,8609,,609-599-9614,E,,Public,24 hours daily; drivers must bring their own J1772 cordset for Level 1 charging,,,,,7,,,,Non-Networked,,200-8,40.219983,-74.754838,11/13/2025,65409,2026-02-02 23:16:24 UTC,P,,,12/1/2014,,,,,NEMA520,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,New Brunswick Parking Authority,7 Wall St,"Gateway Garage, located on the 2nd floor",New Brunswick,NJ,8901,,732-545-3118,E,,Public,Restricted to garage hours,,,,,,5,,,Non-Networked,,GPS,40.496879,-74.446529,11/13/2025,65670,2026-02-02 23:16:24 UTC,P,,,4/30/2013,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,$1 per hour; additional parking fee,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,New Brunswick Parking Authority,95 Patterson St,Wellness Deck Garage located on the corner of 100 Kirkpatrick and Church Street. Located on the 5th and 6th floors,New Brunswick,NJ,8901,,732-545-3118,E,,Public,Restricted to garage hours,,,,,,5,,,Non-Networked,,200-8,40.494646,-74.447516,11/13/2025,65671,2026-02-02 23:16:24 UTC,P,,,4/30/2013,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,$1 per hour; additional parking fee,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Nissan - Atlantic City,6021 E Black Horse Pike,,Egg Harbor Township,NJ,8234,,609-646-1104,E,,Public,Dealership business hours,,,,,,2,,,Non-Networked,,GPS,39.437138,-74.61657,1/13/2026,70450,2026-02-02 23:16:24 UTC,P,,,8/27/2014,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,CHURCH ST LOT CHURCH ST LOT,12 Church Street,In parking lot at intersection of Church St. and Clark,Denville,NJ,7834,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.894258,-74.47802,8/26/2026,74693,2026-08-26 01:03:05 UTC,,,,4/2/2016,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,STATION ONE STATION ONE,1317 Beach Ave,Ground Level Garage,Cape May,NJ,8204,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.935359,-74.901942,8/26/2026,75111,2026-08-26 01:04:27 UTC,,,,4/19/2016,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Rutgers University - RUNet Field Offices,63 Rd 1,,Piscataway,NJ,8817,,848-932-7744,E,,Public,24 hours daily,,,,,,,1,,Non-Networked,,GPS,40.515163,-74.433665,12/13/2023,76682,2025-12-03 17:36:12 UTC,P,,,2/1/2016,,,,,CHADEMO,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Union Volkswagen,2155 US-22,,Union,NJ,7083,,908-364-2200,E,,Public - Call ahead,Dealership business hours; for Volkswagen use only,,,,,,2,,,Non-Networked,,200-9,40.692284,-74.285499,12/10/2024,76928,2025-02-12 00:16:32 UTC,P,,,1/4/2016,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Rahway Parking Lot,67 Lewis St,Located on 1st level,Rahway,NJ,7065,,732-381-8778,E,,Public,8am-7pm daily,,,,,,2,,,Non-Networked,,200-8,40.606383,-74.274701,10/13/2025,77401,2026-02-02 23:16:24 UTC,LG,,,1/1/2016,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,FLEMINGTON BMW STATION 01,206-228 NJ-31,,Flemington,NJ,8822,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.487718,-74.862306,8/26/2026,78768,2026-08-26 00:57:25 UTC,,,,9/27/2016,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,PRESTIGE VW. VW_408281_A,4271 E Black Horse Pike,In front of Volkswagen showroom,Washington Township,NJ,8012,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,39.739546,-75.043515,8/26/2026,80128,2026-08-26 00:59:07 UTC,,,,12/10/2016,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Meadows Landmark,201-301 St Rt 17 N,,Rutherford,NJ,7070,,,T,7/1/2024,TEMPORARILY UNAVAILABLE (Private),Employee use only,,,,,,2,,,Non-Networked,,GPS,40.818834,-74.100607,2/12/2024,81152,2025-02-12 00:16:32 UTC,P,,,7/15/2016,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Privé),,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,Fred Beans Ford,359 NJ-31,,Washington,NJ,7882,,,E,,Private,Service center use only,,,,,,3,,,Non-Networked,,200-9,40.731557,-74.975661,12/13/2023,81600,2025-12-11 18:26:14 UTC,P,,,2/1/2017,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,FRUSCIONE LLC 3500 QBR #1,3500 Quakerbridge Rd,Rear parking lot.,Hamilton Township,NJ,8619,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.256056,-74.681242,8/26/2026,82315,2026-08-26 01:08:42 UTC,,,,4/18/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,PINGRY BR 1,131 Martinsville Rd Lot 1,,Basking Ridge,NJ,7920,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.619297,-74.564719,8/26/2026,85487,2026-08-26 01:09:53 UTC,,,,6/9/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,PRINCETON MUNI SPRING STREET,24 Spring St,First two spaces along interior wall from Spring Street entrance. Across from attendant station.,Princeton,NJ,8542,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.351268,-74.659425,8/26/2026,85573,2026-08-26 01:08:31 UTC,,,,6/17/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Borough of Rutherford - Borough Hall,176 Park Ave,,Rutherford,NJ,7070,,201-460-3000,T,7/1/2024,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,3,,,Non-Networked,,200-9,40.826038,-74.108424,2/12/2024,86169,2025-02-12 00:16:32 UTC,LG,,,8/1/2018,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,METROPARK EV 2,33 S Wood Ave,,Woodbridge Township,NJ,8830,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.565018,-74.328801,8/26/2026,87574,2026-08-26 01:04:38 UTC,,,,9/12/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Bayshore Recycling,75 Crows Mill Rd,Located at Smith Street and Crows Mill Road,Keasbey,NJ,8832,,,E,,Private,Employee use only,,,,,,2,,,Non-Networked,,200-9,40.514261,-74.309172,2/13/2023,87910,2025-10-22 20:58:31 UTC,P,,,6/15/2017,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
ELEC,Residence Inn - Secaucus Meadowlands,800 Plaza Dr,,Secaucus,NJ,7094,,201-223-9901,E,,Public,24 hours daily; for guest use only,,,,,,2,,,Non-Networked,,200-8,40.786973,-74.046449,11/6/2024,87965,2025-02-12 00:16:32 UTC,P,,,3/15/2016,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,SECAUCUS MUNICIPAL LOT,1535 Paterson Plank Rd,Spot 51 near main entrance,Secaucus,NJ,7094,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.79902,-74.058645,8/26/2026,87983,2026-08-26 01:08:46 UTC,,,,10/11/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
