ZIP,charger_count,ALAND_SQMI,charger_density,area_status
07065,9,3.898,2.3088763468445355,Non-Gap
07066,5,4.375,1.1428571428571428,Non-Gap
07068,5,3.618,1.3819789939192926,Non-Gap
07069,2,6.331,0.31590586005370397,Gap
07070,8,2.781,2.876663070837828,Non-Gap
07071,3,4.584,0.6544502617801048,Gap
07073,4,3.711,1.0778765831312316,Non-Gap
07074,1,1.095,0.9132420091324202,Gap
07075,4,1.114,3.5906642728904843,Non-Gap
07076,1,8.995,0.11117287381878822,Gap
07077,1,1.542,0.648508430609598,Gap
07078,5,7.992,0.6256256256256256,Gap
07079,3,2.851,1.052262364082778,Non-Gap
07080,6,8.221,0.7298382191947451,Gap
07081,6,5.177,1.1589723778249952,Non-Gap
07082,1,6.071,0.1647175094712568,Gap
07083,15,8.726,1.7190006876002748,Non-Gap
07086,2,0.794,2.5188916876574305,Non-Gap
07087,4,1.305,3.0651340996168583,Non-Gap
07088,1,0.324,3.0864197530864197,Non-Gap
07090,3,6.738,0.44523597506678536,Gap
07092,1,3.994,0.25037556334501754,Gap
07093,15,1.186,12.647554806070827,Non-Gap
07094,8,5.8,1.3793103448275863,Non-Gap
07095,12,4.608,2.604166666666667,Non-Gap
07102,13,1.131,11.494252873563218,Non-Gap
07103,5,2.152,2.323420074349442,Non-Gap
07104,4,2.531,1.5804030027657052,Non-Gap
07105,3,4.639,0.6466910972192282,Gap
07109,1,3.302,0.30284675953967294,Gap
07110,3,3.374,0.8891523414344991,Gap
07111,3,2.914,1.029512697323267,Non-Gap
07112,1,1.359,0.7358351729212657,Gap
07114,34,7.894,4.307068659741576,Non-Gap
07201,9,6.437,1.3981668479105172,Non-Gap
07203,2,2.635,0.7590132827324478,Gap
07204,2,1.225,1.6326530612244896,Non-Gap
07205,4,2.766,1.4461315979754157,Non-Gap
07207,1,NA,NA,Gap
07208,9,1.792,5.022321428571429,Non-Gap
07302,13,1.433,9.071877180739707,Non-Gap
07304,3,2.055,1.4598540145985401,Non-Gap
07305,11,5.7,1.9298245614035088,Non-Gap
07306,12,2.987,4.017408771342484,Non-Gap
07307,5,1.905,2.6246719160104988,Non-Gap
07310,13,0.611,21.27659574468085,Non-Gap
07311,3,0.054,55.55555555555556,Non-Gap
07392,1,NA,NA,Gap
07405,5,19.82,0.2522704339051463,Gap
07410,2,5.135,0.3894839337877313,Gap
07417,2,9.421,0.21229168878038426,Gap
07419,1,17.058,0.05862351975612616,Gap
07421,2,22.528,0.0887784090909091,Gap
07424,5,5.719,0.8742787200559538,Gap
07430,35,25.401,1.3778985079327586,Non-Gap
07435,1,12.594,0.07940289026520565,Gap
07436,1,8.503,0.11760555098200635,Gap
07442,2,2.884,0.6934812760055479,Gap
07444,3,5.22,0.574712643678161,Gap
07445,1,NA,NA,Gap
07446,10,5.499,1.8185124568103292,Non-Gap
07450,7,5.751,1.2171796209354895,Non-Gap
07452,4,2.703,1.4798372179060304,Non-Gap
07457,2,2.026,0.987166831194472,Gap
07458,1,10.169,0.0983380863408398,Gap
07461,6,82.979,0.07230745128285469,Gap
07463,2,2.046,0.9775171065493647,Gap
07470,7,23.875,0.2931937172774869,Gap
07495,9,NA,NA,Gap
07506,3,3.318,0.9041591320072333,Gap
07512,6,3.96,1.5151515151515151,Non-Gap
07524,1,0.758,1.3192612137203166,Non-Gap
07601,24,4.198,5.717008099094807,Non-Gap
07603,1,0.758,1.3192612137203166,Non-Gap
07604,2,1.539,1.2995451591942822,Non-Gap
07605,1,1.507,0.6635700066357001,Gap
07606,1,0.733,1.364256480218281,Non-Gap
07621,4,2.906,1.3764624913971093,Non-Gap
07627,1,2.072,0.4826254826254826,Gap
07628,1,1.949,0.513083632632119,Gap
07631,5,4.946,1.0109179134654267,Non-Gap
07632,2,2.126,0.9407337723424272,Gap
07642,1,2.902,0.34458993797381116,Gap
07643,6,1.477,4.062288422477995,Non-Gap
07644,3,2.272,1.3204225352112677,Non-Gap
07645,17,4.023,4.225702212279394,Non-Gap
07647,2,2.268,0.8818342151675486,Gap
07648,1,2.785,0.3590664272890485,Gap
07649,2,2.411,0.8295313148071339,Gap
07650,1,1.239,0.8071025020177562,Gap
07652,41,10.445,3.925323121110579,Non-Gap
07656,4,2.607,1.5343306482546988,Non-Gap
07657,3,2.543,1.1797090051120722,Non-Gap
07662,4,0.991,4.036326942482341,Non-Gap
07663,4,2.692,1.4858841010401187,Non-Gap
07666,7,6.041,1.1587485515643106,Non-Gap
07670,1,4.586,0.2180549498473615,Gap
07675,7,9.644,0.7258399004562422,Gap
07677,4,3.376,1.1848341232227488,Non-Gap
07701,13,9.154,1.4201441992571553,Non-Gap
07702,4,2.161,1.8509949097639982,Non-Gap
07712,11,12.228,0.8995747464834806,Gap
07716,4,4.407,0.9076469253460404,Gap
07718,1,2.07,0.48309178743961356,Gap
07719,12,12.689,0.9457010008668926,Gap
07722,3,34.543,0.08684827606172017,Gap
07724,11,12.125,0.9072164948453608,Gap
07726,1,33.081,0.030228832260209785,Gap
07727,1,25.502,0.03921261077562544,Gap
07728,17,49.612,0.3426590341046521,Gap
07730,3,5.197,0.5772561092938233,Gap
07731,4,31.78,0.12586532410320955,Gap
07732,3,3.773,0.7951232441028359,Gap
07733,2,17.773,0.1125302425026726,Gap
07735,5,4.855,1.0298661174047372,Non-Gap
07738,1,5.63,0.17761989342806395,Gap
07740,8,5.277,1.5160128861095319,Non-Gap
07747,4,12.791,0.31271988116644517,Gap
07748,2,13,0.15384615384615385,Gap
07751,2,16.639,0.12019953122182823,Gap
07753,9,15.956,0.5640511406367511,Gap
07755,4,2.934,1.3633265167007498,Non-Gap
07756,2,0.373,5.361930294906166,Non-Gap
07764,1,2.856,0.350140056022409,Gap
07801,1,12.952,0.07720815318097592,Gap
07820,1,1.489,0.6715916722632639,Gap
07822,1,7.378,0.13553808620222282,Gap
07828,2,14.167,0.14117314886708549,Gap
07832,1,42.054,0.023778950872687495,Gap
07834,11,11.608,0.9476223294279806,Gap
07840,5,37.331,0.1339369424874769,Gap
07843,1,3.887,0.2572678157962439,Gap
07844,1,0.226,4.424778761061947,Non-Gap
07848,1,22.916,0.043637633094780935,Gap
07849,1,6.741,0.1483459427384661,Gap
07850,2,2.783,0.7186489399928135,Gap
07856,1,3.433,0.2912904165452957,Gap
07857,2,1.044,1.9157088122605364,Non-Gap
07860,13,100.175,0.12977289742949838,Gap
07866,7,23.008,0.3042420027816412,Gap
07869,2,20.065,0.09967605282830799,Gap
07871,2,38.115,0.052472779745507014,Gap
07874,2,8.461,0.23637867864318637,Gap
07882,3,31.565,0.09504197687311895,Gap
07885,3,14.686,0.20427618139724907,Gap
07901,6,6.333,0.9474182851729038,Gap
07920,22,27.172,0.8096569998527896,Gap
07921,3,18.383,0.1631942555622042,Gap
07922,15,5.581,2.6876903780684462,Non-Gap
07924,1,11.97,0.0835421888053467,Gap
07927,1,2.143,0.46663555762949144,Gap
07928,2,9.256,0.21607605877268798,Gap
07932,10,6.739,1.4838996883810656,Non-Gap
07936,3,7.875,0.38095238095238093,Gap
07940,28,4.913,5.699165479340524,Non-Gap
07945,1,19.481,0.05133206714234382,Gap
07950,5,9.112,0.5487269534679543,Gap
07960,21,34.616,0.6066558816732147,Gap
07974,4,3.969,1.0078105316200554,Non-Gap
07979,1,0.886,1.1286681715575622,Non-Gap
07981,7,6.028,1.1612475116124752,Non-Gap
08002,12,7.209,1.6645859342488556,Non-Gap
08003,5,10.99,0.4549590536851683,Gap
08004,2,25.758,0.07764577995185962,Gap
08005,1,53.531,0.01868076441687994,Gap
08008,7,10.809,0.6476084744194653,Gap
08010,3,3.629,0.8266740148801323,Gap
08012,15,15.002,0.9998666844420744,Gap
08016,24,21.628,1.1096726465692621,Non-Gap
08028,8,14.503,0.5516100117217128,Gap
08029,1,1.075,0.9302325581395349,Gap
08030,2,2.799,0.7145409074669525,Gap
08031,3,2.984,1.0053619302949062,Non-Gap
08034,3,5.908,0.5077860528097494,Gap
08036,19,6.439,2.9507687529119426,Non-Gap
08037,7,122.479,0.057152654740812714,Gap
08038,7,17.421,0.40181390276103557,Gap
08043,5,11.471,0.4358817888588615,Gap
08045,1,1.395,0.7168458781362007,Gap
08046,2,7.598,0.26322716504343247,Gap
08048,3,12.127,0.24738187515461366,Gap
08049,1,1.226,0.8156606851549756,Gap
08050,11,30.899,0.35599857600569595,Gap
08051,2,3.847,0.5198856251624643,Gap
08052,5,3.83,1.3054830287206267,Non-Gap
08053,10,29.156,0.34298257648511454,Gap
08054,10,21.725,0.46029919447640966,Gap
08055,2,39.973,0.05003377279663773,Gap
08057,2,15.301,0.13071041108424286,Gap
08060,6,21.65,0.2771362586605081,Gap
08062,1,32.18,0.031075201988812928,Gap
08065,2,1.849,1.0816657652785289,Non-Gap
08066,1,6.852,0.14594279042615294,Gap
08067,1,19.053,0.05248517293864483,Gap
08069,4,15.937,0.25098826629855053,Gap
08070,2,20.698,0.09662769349695623,Gap
08071,5,3.315,1.5082956259426847,Non-Gap
08075,4,9.878,0.4049402713099818,Gap
08077,4,8.104,0.493583415597236,Gap
08078,1,1.923,0.5200208008320333,Gap
08079,1,88.683,0.011276118309033297,Gap
08080,9,29.237,0.30782912063481205,Gap
08081,5,25.245,0.19805902158843333,Gap
08083,1,2.507,0.39888312724371755,Gap
08084,3,1.57,1.910828025477707,Non-Gap
08085,4,44.5,0.0898876404494382,Gap
08086,1,7.005,0.14275517487508924,Gap
08087,3,70.061,0.04281982843522073,Gap
08088,2,150.514,0.013287800470388135,Gap
08092,6,22.904,0.2619629758994062,Gap
08093,1,4.047,0.2470966147763776,Gap
08094,3,54.771,0.054773511529824175,Gap
08096,8,13.89,0.5759539236861051,Gap
08098,1,57.853,0.01728518832212677,Gap
08102,2,0.995,2.0100502512562812,Non-Gap
08104,1,2.997,0.33366700033366703,Gap
08105,1,2.594,0.3855050115651504,Gap
08108,4,2.692,1.4858841010401187,Non-Gap
08109,2,4.822,0.41476565740356697,Gap
08110,1,6.469,0.15458339774308238,Gap
08201,2,5.774,0.34638032559750603,Gap
08202,2,6.906,0.2896032435563278,Gap
08203,1,6.573,0.1521375323292256,Gap
08204,15,20.459,0.7331736644019747,Gap
08205,9,42.089,0.21383259283898406,Gap
08210,5,68.547,0.07294265248661502,Gap
08215,4,124.079,0.032237526092247684,Gap
08217,1,0.023,43.47826086956522,Non-Gap
08221,1,4.701,0.21272069772388855,Gap
08226,6,6.758,0.8878366380585972,Gap
08230,1,19.523,0.051221636019054446,Gap
08234,16,60.675,0.26370004120313145,Gap
08240,2,2.198,0.9099181073703367,Gap
08244,1,4.923,0.20312817387771684,Gap
08247,1,5.228,0.1912777352716144,Gap
08260,13,15.944,0.8153537380832915,Gap
08270,4,102.946,0.03885532220775941,Gap
08302,1,142.622,0.007011540996480206,Gap
08312,1,5.508,0.18155410312273057,Gap
08318,1,80.417,0.012435181615827498,Gap
08328,1,1.904,0.5252100840336135,Gap
08330,3,127.381,0.023551393064899787,Gap
08332,2,104.514,0.019136192280460033,Gap
08350,1,3.244,0.3082614056720098,Gap
08360,5,44.349,0.11274211368914745,Gap
08401,40,10.676,3.7467216185837393,Non-Gap
08405,1,NA,NA,Gap
08406,4,1.975,2.0253164556962022,Non-Gap
08502,1,13.232,0.07557436517533253,Gap
08505,1,22.488,0.044468160796869445,Gap
08510,2,17.739,0.1127459270533852,Gap
08512,3,22.805,0.131550098662574,Gap
08520,6,18.038,0.3326311120966848,Gap
08525,1,22.392,0.04465880671668453,Gap
08527,7,85.423,0.08194514357959799,Gap
08528,1,0.945,1.0582010582010584,Non-Gap
08530,2,27.114,0.07376263185070443,Gap
08534,6,21.788,0.2753809436387002,Gap
08536,16,7.532,2.1242697822623473,Non-Gap
08540,24,51.717,0.4640640408376356,Gap
08541,1,NA,NA,Gap
08542,4,0.386,10.362694300518134,Non-Gap
08550,2,19.134,0.10452597470471411,Gap
08558,6,15.589,0.38488677913913655,Gap
08559,2,39.835,0.050207104305259195,Gap
08560,2,13.324,0.15010507355148603,Gap
08609,5,1.316,3.7993920972644375,Non-Gap
08611,8,2.978,2.6863666890530555,Non-Gap
08618,2,5.92,0.33783783783783783,Gap
08619,6,9.979,0.6012626515682935,Gap
08620,2,9.008,0.22202486678507996,Gap
08628,9,7.703,1.1683759574191872,Non-Gap
08638,3,5.427,0.552791597567717,Gap
08640,1,18.518,0.054001512042337184,Gap
08641,2,5.086,0.39323633503735744,Gap
08648,13,16.689,0.7789561986937503,Gap
08690,6,7.031,0.8533636751528944,Gap
08691,13,24.232,0.5364806866952789,Gap
08701,13,24.736,0.5255498059508409,Gap
08723,4,11.96,0.33444816053511706,Gap
08724,3,13.805,0.21731256791017747,Gap
08731,7,78.124,0.08960114689468025,Gap
08733,1,12.301,0.08129420372327453,Gap
08742,7,5.611,1.2475494564248797,Non-Gap
08750,1,1.9,0.5263157894736842,Gap
08751,6,1.31,4.580152671755725,Non-Gap
08753,13,23.053,0.5639179282522881,Gap
08755,7,16.01,0.43722673329169265,Gap
08757,1,17.783,0.05623348141483439,Gap
08758,4,18.066,0.2214103841470165,Gap
08759,2,61.34,0.032605151613955004,Gap
08801,1,15.02,0.06657789613848203,Gap
08805,8,2.943,2.7183146449201496,Non-Gap
08807,14,25.483,0.5493858650865283,Gap
08809,7,6.925,1.0108303249097472,Non-Gap
08810,6,5.516,1.0877447425670776,Non-Gap
08816,22,20.235,1.0872251050160613,Non-Gap
08817,17,10.615,1.6015073009891663,Non-Gap
08820,10,10.431,0.9586808551433229,Gap
08822,12,64.733,0.18537685569956588,Gap
08823,11,3.452,3.186558516801854,Non-Gap
08824,1,4.336,0.23062730627306272,Gap
08830,15,3.162,4.743833017077799,Non-Gap
08831,6,51.301,0.11695678446813902,Gap
08832,5,2.173,2.300966405890474,Non-Gap
08833,3,34.868,0.08603877480784673,Gap
08837,5,9.138,0.5471656817684395,Gap
08840,3,3.208,0.9351620947630922,Gap
08844,8,55.168,0.14501160092807425,Gap
08846,1,3.488,0.286697247706422,Gap
08852,7,13.329,0.5251706804711531,Gap
08853,1,11.386,0.08782715615668366,Gap
08854,21,18.928,1.1094674556213018,Non-Gap
08857,10,24.049,0.415817705517901,Gap
08861,3,5.099,0.588350656991567,Gap
08865,1,41.472,0.024112654320987654,Gap
08869,7,1.992,3.5140562248995986,Non-Gap
08873,20,32.133,0.6224130955715308,Gap
08876,15,15.999,0.9375585974123383,Gap
08879,4,7.082,0.5648121999435188,Gap
08882,2,2.8,0.7142857142857143,Gap
08886,3,15.46,0.19404915912031045,Gap
08889,2,23.057,0.08674155354122393,Gap
08899,1,NA,NA,Gap
08901,18,6.267,2.8721876495931067,Non-Gap
08902,18,13.17,1.366742596810934,Non-Gap
08904,2,1.821,1.098297638660077,Non-Gap
74010,1,NA,NA,Gap
88170,1,NA,NA,Gap
